M1:gmoverid (L=1.00e-07) X,M1:gmoverid (L=1.00e-07) Y,M1:gmoverid (L=2.00e-07) X,M1:gmoverid (L=2.00e-07) Y,M1:gmoverid (L=3.00e-07) X,M1:gmoverid (L=3.00e-07) Y,M1:gmoverid (L=4.00e-07) X,M1:gmoverid (L=4.00e-07) Y,M1:gmoverid (L=5.00e-07) X,M1:gmoverid (L=5.00e-07) Y,M1:gmoverid (L=6.00e-07) X,M1:gmoverid (L=6.00e-07) Y,M1:gmoverid (L=7.00e-07) X,M1:gmoverid (L=7.00e-07) Y,M1:gmoverid (L=8.00e-07) X,M1:gmoverid (L=8.00e-07) Y,M1:gmoverid (L=9.00e-07) X,M1:gmoverid (L=9.00e-07) Y,M1:gmoverid (L=1.00e-06) X,M1:gmoverid (L=1.00e-06) Y
0.414,22.70622216982878,0.414,21.65530708199751,0.414,21.16790916230859,0.414,20.91964830448708,0.414,20.68691996553439,0.414,20.48137853619964,0.414,20.3020949871802,0.414,20.14563835239379,0.414,20.00845539912543,0.414,19.88744090669524
0.415,22.63833235121367,0.415,21.58442551276482,0.415,21.09783983662357,0.415,20.84998199548346,0.415,20.61745772757782,0.415,20.4120446673234,0.415,20.23285981648723,0.415,20.07648972252678,0.415,19.93938780511396,0.415,19.81845125045896
0.416,22.57027701555183,0.416,21.51357308820564,0.416,21.02784233644485,0.416,20.78038729699056,0.416,20.54807170796964,0.416,20.34279325588193,0.416,20.16371368605998,0.416,20.00743651606033,0.416,19.87042160057504,0.416,19.74956846390324
0.417,22.50206117118416,0.417,21.44275519135535,0.417,20.95792142700161,0.417,20.71086877969478,0.417,20.47876640453086,0.417,20.27362875475977,0.417,20.09466100463906,0.417,19.93848309233596,0.417,19.80156109041317,0.417,19.68079679417018
0.418,22.43368984433927,0.418,21.37197716429129,0.418,20.8880818250335,0.418,20.64143097315112,0.418,20.40954627303152,0.418,20.20455557050367,0.418,20.0257061292645,0.418,19.86963375357205,0.418,19.73281051734822,0.418,19.61214042166127
0.419,22.36516807866015,0.419,21.30124430644884,0.419,20.81832819666807,0.419,20.57207836319986,0.419,20.34041572427878,0.419,20.13557806024538,0.419,19.95685336215595,0.419,19.80089274178252,0.419,19.66417405892026,0.419,19.54360345715586
0.42,22.29650093473657,0.42,21.23056187289378,0.42,20.74866515526699,0.42,20.5028153893633,0.42,20.27137912121159,0.42,20.06670052866086,0.42,19.88810694765533,0.42,19.73226423577795,0.42,19.59565582459404,0.42,19.47518993904352
0.421,22.22769348963971,0.421,21.15993507255289,0.421,20.67909725924682,0.421,20.43364644223214,0.421,20.20244077601325,0.421,19.99792722497346,0.421,19.8194710692385,0.421,19.66375234825734,0.421,19.5272598529711,0.421,19.40690383067615
0.422,22.15875083645224,0.422,21.08936906640535,0.422,20.60962900988079,0.422,20.36457586084765,0.422,20.13360494724827,0.422,19.92926234001233,0.422,19.75094984660577,0.422,19.5953611229972,0.422,19.45899010911388,0.422,19.33874901784466
0.423,22.08967808378984,0.423,21.01886896563594,0.423,20.54026484908747,0.423,20.2956079300899,0.423,20.06487583703296,0.423,19.86071000333144,0.423,19.68254733285692,0.423,19.52709453214577,0.423,19.39085048199027,0.423,19.27072930638689
0.424,22.02048035530896,0.424,20.94843982975371,0.424,20.47100915721262,0.424,20.22674687807801,0.424,19.99625758824967,0.424,19.79227428039903,0.424,19.6142675117606,0.424,19.45895647362694,0.424,19.322844782041,0.424,19.20284841992963
0.425,21.95116278919458,0.425,20.87808666467843,0.425,20.40186625081138,0.425,20.15799687359213,0.425,19.92775428181015,0.425,19.72395916986502,0.425,19.54611429512138,0.425,19.39095076866158,0.425,19.25497673887723,0.425,19.13510999776859
0.426,21.88173053762471,0.426,20.80781442079918,0.426,20.33284038043677,0.426,20.08936202352424,0.426,19.85936993397847,0.426,19.65576860091298,0.426,19.47809152025439,0.426,19.32308115940987,0.426,19.1872499991112,0.426,19.06751759289141
0.427,21.81218876620496,0.427,20.7376279910073,0.427,20.26393572844128,0.427,20.02084637036586,0.427,19.79110849375962,0.427,19.58770643070387,0.427,19.41020294757054,0.427,19.25535130674037,0.427,19.11966812432407,0.427,19.0000746701444
0.428,21.74254265336968,0.428,20.66753220870926,0.428,20.1951564067989,0.428,19.95245388974004,0.428,19.7229738403616,0.428,19.519776441918,0.428,19.34245225827928,0.428,19.18776478813011,0.428,19.05223458917397,0.428,18.93278460454674
0.429,21.67279738974381,0.429,20.59753184582184,0.429,20.12650645495356,0.429,19.88418848798559,0.429,19.6549697807386,0.429,19.45198234040151,0.429,19.27484305221325,0.429,19.120325095699,0.429,18.98495277964776,0.429,18.86565067975343
0.43,21.6029581774623,0.43,20.5276316107565,0.43,20.05798983770022,0.43,19.81605399979997,0.43,19.58710004722051,0.43,19.38432775292215,0.43,19.20737884577926,0.43,19.05303563438182,0.43,18.91782599145752,0.43,18.79867608666859
0.431,21.53303022944149,0.431,20.45783614639538,0.431,19.98961044310689,0.431,19.74805418594872,0.431,19.51936829523644,0.431,19.31681622504036,0.431,19.14006307003938,0.431,18.9858997202411,0.431,18.85085742858475,0.431,18.73186392220929
0.4320000000000001,21.46301876859973,0.4320000000000001,20.38815002806508,0.4320000000000001,19.92137208048197,0.4320000000000001,19.68019273104695,0.4320000000000001,19.45177810113699,0.4320000000000001,19.24945121909965,0.4320000000000001,19.07289906892579,0.4320000000000001,18.91892057892281,0.4320000000000001,18.78405020197234,0.4320000000000001,18.66521718822149
