M1:id (L=1.00e-07) X,M1:id (L=1.00e-07) Y,M1:id (L=2.00e-07) X,M1:id (L=2.00e-07) Y,M1:id (L=3.00e-07) X,M1:id (L=3.00e-07) Y,M1:id (L=4.00e-07) X,M1:id (L=4.00e-07) Y,M1:id (L=5.00e-07) X,M1:id (L=5.00e-07) Y,M1:id (L=6.00e-07) X,M1:id (L=6.00e-07) Y,M1:id (L=7.00e-07) X,M1:id (L=7.00e-07) Y,M1:id (L=8.00e-07) X,M1:id (L=8.00e-07) Y,M1:id (L=9.00e-07) X,M1:id (L=9.00e-07) Y,M1:id (L=1.00e-06) X,M1:id (L=1.00e-06) Y
0.41,1.000238478215023e-06,0.41,6.845249635159823e-07,0.41,5.448426886195237e-07,0.41,4.558329447718817e-07,0.41,3.973710902015141e-07,0.41,3.549361990156367e-07,0.41,3.221640103506818e-07,0.41,2.957841749755612e-07,0.41,2.739191199064774e-07,0.41,2.553990233183479e-07
0.411,1.023407709727575e-06,0.411,6.996655755118879e-07,0.411,5.566245284191052e-07,0.411,4.655754458640947e-07,0.411,4.057703410031347e-07,0.411,3.623644935612781e-07,0.411,3.288478043800785e-07,0.411,3.018736822789909e-07,0.411,2.795202994618133e-07,0.411,2.605900855614041e-07
0.412,1.047042414609718e-06,0.412,7.150900530261668e-07,0.412,5.686210085781807e-07,0.412,4.754928317168187e-07,0.412,4.143181691705812e-07,0.412,3.699224460348158e-07,0.412,3.356468821075155e-07,0.412,3.080671223414819e-07,0.412,2.852161884091115e-07,0.412,2.658681957695585e-07
0.413,1.07114988602792e-06,0.413,7.308024333866317e-07,0.413,5.808350737986879e-07,0.413,4.85587447978288e-07,0.413,4.230165219989631e-07,0.413,3.776117199946179e-07,0.413,3.425626947794815e-07,0.413,3.143657816023634e-07,0.413,2.910079415786634e-07,0.413,2.712344012785018e-07
0.414,1.095737479067505e-06,0.414,7.468067849010234e-07,0.414,5.932696904478099e-07,0.414,4.958616564798775e-07,0.414,4.318673594008854e-07,0.414,3.854339891760098e-07,0.414,3.495967020728395e-07,0.414,3.207709536346018e-07,0.414,2.968967199422035e-07,0.414,2.76689754786917e-07
0.415,1.12081261009561e-06,0.415,7.631072067087758e-07,0.415,6.059278464721091e-07,0.415,5.063178351493269e-07,0.415,4.408726538252017e-07,0.415,3.933909374165574e-07,0.415,3.567503720262758e-07,0.415,3.272839390816864e-07,0.415,3.028836905544634e-07,0.415,2.822353143021011e-07
0.416,1.146382756100958e-06,0.416,7.79707828631364e-07,0.416,6.188125513107158e-07,0.416,5.169583779234465e-07,0.416,4.500343901753384e-07,0.416,4.014842585809723e-07,0.416,3.64025180971305e-07,0.416,3.339060455940985e-07,0.416,3.089700264943502e-07,0.416,2.878721430852409e-07
0.417,1.172455454010641e-06,0.417,7.966128110210412e-07,0.417,6.319268358082117e-07,0.417,5.277856946602498e-07,0.417,4.593545657271013e-07,0.417,4.097156564855439e-07,0.417,3.714226134629327e-07,0.417,3.406385877653355e-07,0.417,3.151569068056916e-07,0.417,2.936013095961949e-07
0.418,1.199038299984625e-06,0.418,8.138263446084517e-07,0.418,6.452737521266481e-07,0.418,5.388022110505294e-07,0.418,4.688351900460626e-07,0.418,4.1808684482215e-07,0.418,3.789441622097716e-07,0.418,3.474828870675011e-07,0.418,3.214455164374928e-07,0.418,2.994238874378241e-07
0.419,1.226138948688131e-06,0.419,8.313526503488877e-07,0.419,6.588563736570264e-07,0.419,5.500103685288065e-07,0.419,4.784782849043239e-07,0.419,4.265995470817355e-07,0.419,3.865913280037255e-07,0.419,3.544402717863348e-07,0.419,3.278370461836388e-07,0.419,3.053409552997663e-07
0.42,1.253765112542911e-06,0.42,8.491959792675401e-07,0.42,6.726777949300859e-07,0.42,5.614126241837428e-07,0.42,4.882858841968171e-07,0.42,4.352554964771577e-07,0.42,3.943656196489899e-07,0.42,3.615120769556611e-07,0.42,3.343326926220655e-07,0.42,3.113535969016122e-07
0.421,1.281924560957265e-06,0.421,8.673606123038595e-07,0.421,6.867411315264227e-07,0.421,5.730114506677277e-07,0.421,4.982600338568084e-07,0.421,4.440564358655514e-07,0.421,4.022685538905251e-07,0.421,3.686996442912172e-07,0.421,3.409336580531903e-07,0.421,3.174629009354323e-07
0.422,1.310625119536136e-06,0.422,8.858508601547771e-07,0.422,7.0104951998582e-07,0.422,5.84809336105909e-07,0.422,5.084027917707883e-07,0.422,4.530041176697908e-07,0.422,4.103016553417293e-07,0.422,3.760043221237748e-07,0.422,3.476411504377593e-07,0.422,3.236699610076614e-07
0.423,1.339874669271352e-06,0.423,9.046710631173163e-07,0.423,7.156061177157641e-07,0.423,5.968087840042193e-07,0.423,5.187162276926512e-07,0.423,4.621003037993463e-07,0.423,4.184664564114703e-07,0.423,3.834274653314568e-07,0.423,3.544563833337982e-07,0.423,3.299758755801422e-07
0.424,1.369681145712746e-06,0.424,9.238255909302965e-07,0.424,7.304141028991524e-07,0.424,6.090123131567224e-07,0.424,5.292024231568464e-07,0.424,4.713467655702753e-07,0.424,4.267644972300974e-07,0.424,3.909704352712807e-07,0.424,3.613805758328737e-07,0.424,3.363817479103948e-07
0.425,1.40005253812119e-06,0.425,9.433188426153709e-07,0.425,7.454766744009328e-07,0.425,6.214224575519013e-07,0.425,5.398634713907838e-07,0.425,4.807452836242048e-07,0.425,4.351973255747517e-07,0.425,3.986345997097331e-07,0.425,3.684149524953594e-07,0.425,3.428886859910702e-07
0.426,1.430996888603542e-06,0.426,9.631552463171844e-07,0.426,7.607970516737578e-07,0.426,6.340417662779048e-07,0.426,5.50701477226102e-07,0.426,4.902976478463883e-07,0.426,4.437664967934967e-07,0.426,4.064213327524208e-07,0.426,3.755607432847939e-07,0.426,3.494978024883644e-07
0.427,1.462522291230927e-06,0.427,9.833392591429832e-07,0.427,7.763784746624875e-07,0.427,6.468728034266783e-07,0.427,5.61718557008858e-07,0.427,5.000056572826495e-07,0.427,4.524735737284919e-07,0.427,4.143320147726578e-07,0.427,3.828191835012091e-07,0.427,3.562102146795337e-07
0.428,1.494636891140436e-06,0.428,1.003875367001282e-06,0.428,7.922242037072994e-07,0.428,6.599181479968425e-07,0.428,5.729168385085612e-07,0.428,5.098711200551628e-07,0.428,4.613201266379733e-07,0.428,4.223680323389111e-07,0.428,3.901915137133935e-07,0.428,3.63027044389331e-07
0.429,1.527348883621667e-06,0.429,1.024768084440024e-06,0.429,8.083375194454355e-07,0.429,6.73180393795143e-07,0.429,5.842984608257348e-07,0.429,5.198958532768864e-07,0.429,4.703077331169864e-07,0.429,4.305307781410583e-07,0.429,3.976789796899493e-07,0.429,3.699494179253292e-07
0.43,1.560666513188076e-06,0.43,1.046021954483593e-06,0.43,8.24721722711491e-07,0.43,6.866621493365093e-07,0.43,5.958655742982379e-07,0.43,5.300816829647002e-07,0.43,4.794379780168026e-07,0.43,4.388216509153973e-07,0.43,4.052828323292024e-07,0.43,3.769784660120717e-07
0.431,1.594598072634737e-06,0.431,1.067641548469138e-06,0.431,8.41380134435775e-07,0.431,7.003660377423628e-07,0.431,6.076203404058791e-07,0.431,5.404304439510174e-07,0.431,4.887124533629392e-07,0.431,4.47242055368275e-07,0.431,4.130043275877412e-07,0.431,3.84115323724036e-07
0.4320000000000001,1.629151902082539e-06,0.4320000000000001,1.089631465881893e-06,0.4320000000000001,8.583160955409512e-07,0.4320000000000001,7.142946966373215e-07,0.4320000000000001,6.195649316734929e-07,0.4320000000000001,5.509439797938426e-07,0.4320000000000001,4.981327582716459e-07,0.4320000000000001,4.557934020982779e-07,0.4320000000000001,4.208447264076825e-07,0.4320000000000001,3.913611304172332e-07
