M0:gm (L=1.00e-07) X,M0:gm (L=1.00e-07) Y,M0:gm (L=2.00e-07) X,M0:gm (L=2.00e-07) Y,M0:gm (L=3.00e-07) X,M0:gm (L=3.00e-07) Y,M0:gm (L=4.00e-07) X,M0:gm (L=4.00e-07) Y,M0:gm (L=5.00e-07) X,M0:gm (L=5.00e-07) Y,M0:gm (L=6.00e-07) X,M0:gm (L=6.00e-07) Y,M0:gm (L=7.00e-07) X,M0:gm (L=7.00e-07) Y,M0:gm (L=8.00e-07) X,M0:gm (L=8.00e-07) Y,M0:gm (L=9.00e-07) X,M0:gm (L=9.00e-07) Y,M0:gm (L=1.00e-06) X,M0:gm (L=1.00e-06) Y
0.419,1.041364553456111e-05,0.419,9.589824764116802e-06,0.419,8.180317354522179e-06,0.419,6.792223388592413e-06,0.419,5.783368919404975e-06,0.419,5.023423336849078e-06,0.419,4.433790244931168e-06,0.419,3.964582046233136e-06,0.419,3.583117223393086e-06,0.419,3.267312532743568e-06
0.42,1.063910840084903e-05,0.42,9.788703935862483e-06,0.42,8.343367556841684e-06,0.42,6.924813929986489e-06,0.42,5.894458051151395e-06,0.42,5.118714641141645e-06,0.42,4.517067327032172e-06,0.42,4.038452425064145e-06,0.42,3.649441268061565e-06,0.42,3.327458349545579e-06
0.421,1.086872866810856e-05,0.421,9.990720264953587e-06,0.421,8.50872229002168e-06,0.421,7.059167552006778e-06,0.421,6.006956637651388e-06,0.421,5.215171663888249e-06,0.421,4.601334048758256e-06,0.421,4.113180236722418e-06,0.421,3.716520310422813e-06,0.421,3.388277723825458e-06
0.422,1.11025583604182e-05,0.422,1.019589159627085e-05,0.422,8.67638536855809e-06,0.422,7.195283172220852e-06,0.422,6.120861506699339e-06,0.422,5.312790353369624e-06,0.422,4.686586030092146e-06,0.422,4.188761035886427e-06,0.422,3.78434996819727e-06,0.422,3.44976639827604e-06
0.423,1.134064926525854e-05,0.423,1.040423490503232e-05,0.423,8.846359811129355e-06,0.423,7.333159048555184e-06,0.423,6.236168941486752e-06,0.423,5.411566201492045e-06,0.423,4.77281850181015e-06,0.423,4.265190039883599e-06,0.423,3.852925562545854e-06,0.423,3.511919851725628e-06
0.424,1.158305289630452e-05,0.424,1.061576627645798e-05,0.424,9.018647835827293e-06,0.424,7.472792780304832e-06,0.424,6.352874684301147e-06,0.424,5.511494248680128e-06,0.424,4.860026310850395e-06,0.424,4.342462134179884e-06,0.424,3.922242123505456e-06,0.424,3.574733304431356e-06
0.425,1.182982045554518e-05,0.425,1.08305008863765e-05,0.425,9.193250856468022e-06,0.425,7.614181310069517e-06,0.425,6.470973940993691e-06,0.425,5.612569089408546e-06,0.425,4.948203926219011e-06,0.425,4.420571878330441e-06,0.425,3.992294395823178e-06,0.425,3.638201723723352e-06
0.426,1.20810027947778e-05,0.426,1.104845298282045e-05,0.426,9.370169479987187e-06,0.426,7.757320926611002e-06,0.426,6.590461386201895e-06,0.426,5.714784878356879e-06,0.426,5.037345445419433e-06,0.426,4.49951351237485e-06,0.426,4.063076845176158e-06,0.426,3.702319829985486e-06
0.427,1.233665037651715e-05,0.427,1.126963586865555e-05,0.427,9.5494035049286e-06,0.427,7.902207268622938e-06,0.427,6.711331169314052e-06,0.427,5.81813533717286e-06,0.427,5.127444601386768e-06,0.427,4.579280963661104e-06,0.427,4.134583664758949e-06,0.427,3.767082102957999e-06
0.428,1.259681323437627e-05,0.428,1.149406188528464e-05,0.428,9.730951921027186e-06,0.428,8.04883532940375e-06,0.428,6.833576921160057e-06,0.428,5.922613761824248e-06,0.428,5.21849476991074e-06,0.428,4.659867854079415e-06,0.428,4.206808782222767e-06,0.428,3.832482788344124e-06
0.429,1.286154093296069e-05,0.429,1.172174239746929e-05,0.429,9.914812909887659e-06,0.429,8.197199462418433e-06,0.429,6.957191761408677e-06,0.429,6.028213030521626e-06,0.429,5.310488977525229e-06,0.429,4.74126750768858e-06,0.429,4.279745866947516e-06,0.429,3.898515904705752e-06
0.43,1.31308825273408e-05,0.43,1.195268777930175e-05,0.43,1.010098384675245e-05,0.43,8.34729338773348e-06,0.43,7.08216830665322e-06,0.43,6.134925612189106e-06,0.43,5.403419909846703e-06,0.43,4.823472958713286e-06,0.43,4.353388337629314e-06,0.43,3.965175250628639e-06
0.431,1.34048865221517e-05,0.431,1.218690740136404e-05,0.431,1.028946130335614e-05,0.431,8.499110199308122e-06,0.431,7.208498679162234e-06,0.431,6.242743575462021e-06,0.431,5.497279920336856e-06,0.431,4.906476959893388e-06,0.431,4.427729370162654e-06,0.431,4.032454412140679e-06
0.4320000000000001,1.368360083038107e-05,0.4320000000000001,1.242440961910326e-05,0.4320000000000001,1.048024105185248e-05,0.4320000000000001,8.652642373120081e-06,0.4320000000000001,7.33617451627259e-06,0.4320000000000001,6.351658598188187e-06,0.4320000000000001,5.592061039469497e-06,0.4320000000000001,4.990271991163081e-06,0.4320000000000001,4.502761905798567e-06,0.4320000000000001,4.100346770363442e-06
0.4330000000000001,1.396707273191075e-05,0.4330000000000001,1.266520176245351e-05,0.4330000000000001,1.067331806980617e-05,0.4330000000000001,8.807881776105206e-06,0.4330000000000001,7.465186980400873e-06,0.4330000000000001,6.461661977406067e-06,0.4330000000000001,5.687754984276244e-06,0.4330000000000001,5.07485026863819e-06,0.4330000000000001,4.578478659557699e-06,0.4330000000000001,4.168845509379354e-06
0.4340000000000001,1.425534883186952e-05,0.4340000000000001,1.290929012672298e-05,0.4340000000000001,1.086868654622875e-05,0.4340000000000001,8.964819675883201e-06,0.4340000000000001,7.595526769642686e-06,0.4340000000000001,6.572744639776627e-06,0.4340000000000001,5.784353168247695e-06,0.4340000000000001,5.160203753888873e-06,0.4340000000000001,4.6548721288779e-06,0.4340000000000001,4.237943624293661e-06
0.4350000000000001,1.454847501886575e-05,0.4350000000000001,1.315667996477368e-05,0.4350000000000001,1.106633988864453e-05,0.4350000000000001,9.123446751246955e-06,0.4350000000000001,7.727184128937833e-06,0.4350000000000001,6.68489715243971e-06,0.4350000000000001,5.881846711565011e-06,0.4350000000000001,5.246324163475478e-06,0.4350000000000001,4.731934602474703e-06,0.4350000000000001,4.307633929473006e-06
0.4360000000000001,1.484649642317061e-05,0.4360000000000001,1.340737548050666e-05,0.4360000000000001,1.126627073116192e-05,0.4360000000000001,9.28375310338286e-06,0.4360000000000001,7.860148861767074e-06,0.4360000000000001,6.798109734269116e-06,0.4360000000000001,5.980226451636326e-06,0.4360000000000001,5.33320297872276e-06,0.4360000000000001,4.809658169393633e-06,0.4360000000000001,4.377909066940233e-06
0.4370000000000001,1.514945737491255e-05,0.4370000000000001,1.366137982366754e-05,0.4370000000000001,1.146847094352888e-05,0.4370000000000001,9.445728267796034e-06,0.4370000000000001,7.994410342352719e-06,0.4370000000000001,6.912372267496724e-06,0.4370000000000001,6.079482953912029e-06,0.4370000000000001,5.420831455710777e-06,0.4370000000000001,4.888034728232739e-06,0.4370000000000001,4.448761514905982e-06
0.4380000000000001,1.545740136236372e-05,0.4380000000000001,1.391869508598231e-05,0.4380000000000001,1.167293164114486e-05,0.4380000000000001,9.609361226903721e-06,0.4380000000000001,8.129957528331447e-06,0.4380000000000001,7.027674309678187e-06,0.4380000000000001,6.179606522952515e-06,0.4380000000000001,5.509200635456382e-06,0.4380000000000001,4.967055996513471e-06,0.4380000000000001,4.520183596416888e-06
0.4390000000000001,1.577037099038383e-05,0.4390000000000001,1.417932229862982e-05,0.4390000000000001,1.187964319600029e-05,0.4390000000000001,9.774640423268475e-06,0.4390000000000001,8.266778973866756e-06,0.4390000000000001,7.144005105968725e-06,0.4390000000000001,6.280587213722547e-06,0.4390000000000001,5.598301354263385e-06,0.4390000000000001,5.046713520178006e-06,0.4390000000000001,4.592167488100899e-06
0.4400000000000001,1.608840793909497e-05,0.4400000000000001,1.444326143105541e-05,0.4400000000000001,1.208859524851276e-05,0.4400000000000001,9.941553773433426e-06,0.4400000000000001,8.404862843168564e-06,0.4400000000000001,7.261353601681768e-06,0.4400000000000001,6.382414843083897e-06,0.4400000000000001,5.688124254215822e-06,0.4400000000000001,5.126998683192367e-06,0.4400000000000001,4.664705228990167e-06
0.4410000000000001,1.64115529228661e-05,0.4410000000000001,1.471051139112088e-05,0.4410000000000001,1.229977672022728e-05,0.4410000000000001,1.011008868232307e-05,0.4410000000000001,8.544196924386763e-06,0.4410000000000001,7.379708455097514e-06,0.4410000000000001,6.485079001460968e-06,0.4410000000000001,5.778659793791274e-06,0.4410000000000001,5.207902717232038e-06,0.4410000000000001,4.737788729401533e-06
0.4420000000000001,1.673984564967731e-05,0.4420000000000001,1.498107002658906e-05,0.4420000000000001,1.251317582734387e-05,0.4420000000000001,1.028023205817672e-05,0.4420000000000001,8.684768643842928e-06,0.4420000000000001,7.499058050494167e-06,0.4420000000000001,6.588569064652588e-06,0.4420000000000001,5.869898258570106e-06,0.4420000000000001,5.289416711430673e-06,0.4420000000000001,4.811409779855832e-06
0.4430000000000001,1.70733247809431e-05,0.4430000000000001,1.525493412793536e-05,0.4430000000000001,1.272878009503648e-05,0.4430000000000001,1.045197032797201e-05,0.4430000000000001,8.826565080569547e-06,0.4430000000000001,7.619390511368884e-06,0.4430000000000001,6.692874205761518e-06,0.4430000000000001,5.961829772016627e-06,0.4430000000000001,5.371531622169246e-06,0.4430000000000001,4.885560060017006e-06
0.4440000000000001,1.741202789186353e-05,0.4440000000000001,1.553209943247037e-05,0.4440000000000001,1.294657637252397e-05,0.4440000000000001,1.062528945330259e-05,0.4440000000000001,8.969572981117863e-06,0.4440000000000001,7.740693713819665e-06,0.4440000000000001,6.797983407217998e-06,0.4440000000000001,6.054444306310208e-06,0.4440000000000001,5.454238282886036e-06,0.4440000000000001,4.960231147632152e-06
0.4450000000000001,1.775599143239193e-05,0.4450000000000001,1.581256062976398e-05,0.4450000000000001,1.316655084885374e-05,0.4450000000000001,1.080017494667102e-05,0.4450000000000001,9.11377877460272e-06,0.4450000000000001,7.862955300058483e-06,0.4450000000000001,6.903885472868156e-06,0.4450000000000001,6.147731693201296e-06,0.4450000000000001,5.537527413886579e-06,0.4450000000000001,5.035414527454813e-06
